;longitude;latitude;level;time;nh3_conc
181;0.25;41.349998474121094;50.0;0 days 01:00:00;0.41320193
182;0.25;41.25;50.0;0 days 00:00:00;0.41247717
183;0.25;41.25;50.0;0 days 01:00:00;0.49077985
184;0.25;41.150001525878906;50.0;0 days 00:00:00;0.40463543
185;0.25;41.150001525878906;50.0;0 days 01:00:00;0.52700686
186;0.25;41.04999923706055;50.0;0 days 00:00:00;0.3586287
187;0.25;41.04999923706055;50.0;0 days 01:00:00;0.48835602
188;0.25;40.95000076293945;50.0;0 days 00:00:00;0.29304558
189;0.25;40.95000076293945;50.0;0 days 01:00:00;0.40285552
190;0.3499999940395355;42.75;50.0;0 days 00:00:00;0.23828672
191;0.3499999940395355;42.75;50.0;0 days 01:00:00;0.17874414
192;0.3499999940395355;42.650001525878906;50.0;0 days 00:00:00;0.24243896
193;0.3499999940395355;42.650001525878906;50.0;0 days 01:00:00;0.21539837
194;0.3499999940395355;42.54999923706055;50.0;0 days 00:00:00;0.38625014
195;0.3499999940395355;42.54999923706055;50.0;0 days 01:00:00;0.47621906
196;0.3499999940395355;42.45000076293945;50.0;0 days 00:00:00;0.82807004
197;0.3499999940395355;42.45000076293945;50.0;0 days 01:00:00;0.88376504
198;0.3499999940395355;42.349998474121094;50.0;0 days 00:00:00;1.4690951
199;0.3499999940395355;42.349998474121094;50.0;0 days 01:00:00;1.6715101
200;0.3499999940395355;42.25;50.0;0 days 00:00:00;1.240231
201;0.3499999940395355;42.25;50.0;0 days 01:00:00;1.9659412
202;0.3499999940395355;42.150001525878906;50.0;0 days 00:00:00;1.8167237
203;0.3499999940395355;42.150001525878906;50.0;0 days 01:00:00;2.328802
204;0.3499999940395355;42.04999923706055;50.0;0 days 00:00:00;1.342177
205;0.3499999940395355;42.04999923706055;50.0;0 days 01:00:00;2.1455433
206;0.3499999940395355;41.95000076293945;50.0;0 days 00:00:00;1.4795755
207;0.3499999940395355;41.95000076293945;50.0;0 days 01:00:00;2.2513537
208;0.3499999940395355;41.849998474121094;50.0;0 days 00:00:00;1.5483712
209;0.3499999940395355;41.849998474121094;50.0;0 days 01:00:00;1.9887416
210;0.3499999940395355;41.75;50.0;0 days 00:00:00;1.4856933
211;0.3499999940395355;41.75;50.0;0 days 01:00:00;1.6849526
212;0.3499999940395355;41.650001525878906;50.0;0 days 00:00:00;0.9447501
213;0.3499999940395355;41.650001525878906;50.0;0 days 01:00:00;0.9543246
214;0.3499999940395355;41.54999923706055;50.0;0 days 00:00:00;0.510636
215;0.3499999940395355;41.54999923706055;50.0;0 days 01:00:00;0.6921725
216;0.3499999940395355;41.45000076293945;50.0;0 days 00:00:00;0.41676974
217;0.3499999940395355;41.45000076293945;50.0;0 days 01:00:00;0.5643832
218;0.3499999940395355;41.349998474121094;50.0;0 days 00:00:00;0.33397195
219;0.3499999940395355;41.349998474121094;50.0;0 days 01:00:00;0.4701306
220;0.3499999940395355;41.25;50.0;0 days 00:00:00;0.379095
221;0.3499999940395355;41.25;50.0;0 days 01:00:00;0.49309802
222;0.3499999940395355;41.150001525878906;50.0;0 days 00:00:00;0.3956222
223;0.3499999940395355;41.150001525878906;50.0;0 days 01:00:00;0.4888463
224;0.3499999940395355;41.04999923706055;50.0;0 days 00:00:00;0.35231373
225;0.3499999940395355;41.04999923706055;50.0;0 days 01:00:00;0.47300297
226;0.3499999940395355;40.95000076293945;50.0;0 days 00:00:00;0.2850733
227;0.3499999940395355;40.95000076293945;50.0;0 days 01:00:00;0.41365755
228;0.44999998807907104;42.75;50.0;0 days 00:00:00;0.24154279
229;0.44999998807907104;42.75;50.0;0 days 01:00:00;0.16999291
230;0.44999998807907104;42.650001525878906;50.0;0 days 00:00:00;0.18133406
231;0.44999998807907104;42.650001525878906;50.0;0 days 01:00:00;0.18602009
232;0.44999998807907104;42.54999923706055;50.0;0 days 00:00:00;0.263789
233;0.44999998807907104;42.54999923706055;50.0;0 days 01:00:00;0.39124793
234;0.44999998807907104;42.45000076293945;50.0;0 days 00:00:00;0.5678089
235;0.44999998807907104;42.45000076293945;50.0;0 days 01:00:00;0.6917249
236;0.44999998807907104;42.349998474121094;50.0;0 days 00:00:00;1.239842
237;0.44999998807907104;42.349998474121094;50.0;0 days 01:00:00;1.5385125
238;0.44999998807907104;42.25;50.0;0 days 00:00:00;1.6526513
239;0.44999998807907104;42.25;50.0;0 days 01:00:00;2.3189282
240;0.44999998807907104;42.150001525878906;50.0;0 days 00:00:00;1.8388855
241;0.44999998807907104;42.150001525878906;50.0;0 days 01:00:00;2.551089
242;0.44999998807907104;42.04999923706055;50.0;0 days 00:00:00;1.4116299
243;0.44999998807907104;42.04999923706055;50.0;0 days 01:00:00;2.1013813
244;0.44999998807907104;41.95000076293945;50.0;0 days 00:00:00;1.605601
245;0.44999998807907104;41.95000076293945;50.0;0 days 01:00:00;2.1999843
246;0.44999998807907104;41.849998474121094;50.0;0 days 00:00:00;1.6956898
247;0.44999998807907104;41.849998474121094;50.0;0 days 01:00:00;2.259209
248;0.44999998807907104;41.75;50.0;0 days 00:00:00;1.9899291
